nctId,briefTitle,eligibilityCriteria,healthyVolunteers,sex,genderBased,minimumAge,maximumAge,stdAges,studyPopulation,samplingMethod
NCT00130117,Study of Leptin for the Treatment of Hypothalamic Amenorrhea,"Inclusion criteria for HA subjects

* Hypothalamic amenorrhea of at least 6 months duration with low or normal LH and FSH, e.g. due to strenuous exercise (running \>20 miles per week or equivalent) or low weight
* Can be secondary HA OR primary HA with some pubertal development and normal screening labs
* Age 18-35 years old
* Body weight within +/- 15% of ideal body weight and stable for 6 months (no change \> 5 lbs)
* Baseline leptin \<5 ng/mL (except for the Cognitive Sub-Study Baseline visit where baseline leptin will be greater than 5ng/mL)

Inclusion criteria for eumenorrheic controls for Reward Sub-study

* Normal menstrual cycles (between 25 and 35 days)
* Age 18-35
* Body weight within +/- 15% of ideal body weight and stable 6 months (no change \> 5 lbs)
* Baseline leptin \>5 ng/mL

Exclusion criteria:

* We will exclude subjects with:
* Significant medical history that may affect the concentrations of the hormones to studied or ability to participate in the study
* renal or hepatic disease (creatinine \> 1.4, AST/ALT \> 2x upper limit of normal)
* diagnosed diabetes mellitus
* myocardial ischemia
* malignancy (other than basal cell carcinoma of the skin or in situ carcinoma of the cervix)
* malabsorption
* alcoholism, drug abuse, or smoking
* active eating disorder
* depression or other psychiatric disease
* anemia (Hb10 gm/dL on 2 occasions)
* Conditions that are contraindicated for oral contraceptive use:
* Thrombophlebitis or thromboembolic disorders
* A past history of deep vein thrombophlebitis or thromboembolic disorders
* Cerebral vascular or coronary artery disease
* Known or suspected carcinoma of the breast
* Carcinoma of the endometrium or other known or suspected estrogen-dependent neoplasia
* Undiagnosed abnormal genital bleeding
* Hepatic adenomas or carcinomas
* Cholestatic jaundice of pregnancy or jaundice with prior OCP use
* Other endocrine causes of amenorrhea, e.g.
* hyperprolactinemia
* hypothyroidism or hyperthyroidism
* Cushing's syndrome
* congenital adrenal hyperplasia (elevated 17 OH progesterone)
* polycystic ovarian syndrome (elevated androgens or LH/FSH ratio \>1.5)
* primary ovarian failure (elevated FSH)
* On medications known to affect the hormones to be measured such as
* glucocorticoids
* anti seizure medications
* thyroid hormones
* estrogen (must be off at least 3 months prior to participating in the study)
* A known history of anaphylaxis or anaphylactoid-like reactions, or a known hypersensitivity to E. Coli derived proteins
* Breast feeding, pregnant, or wanting to become pregnant during the next 6 months.
* We will screen for these conditions through a detailed history and systems review, physical examination, laboratory evaluation (as described above in Screening Methods), and EKG.
* In the Reward Sub-study subjects will be asked to fill out a standard BIDMC MRI safety screening form prior to entering the magnet.",True,FEMALE,,18 Years,35 Years,['ADULT'],,
NCT00383656,Pulsatile GnRH in Anovulatory Infertility,"Inclusion Criteria:

* Women and minors with GnRH deficiency or idiopathic hypogonadotropic hypogonadism (IHH) will have a history of primary amenorrhea, no evidence of abnormalities in other hormonal axes, a deficient pattern of luteinizing hormone (LH) and/or free alpha subunit (FAS) secretion on baseline sampling and a normal cranial CT or MRI.
* Women and minors with hypothalamic amenorrhea will have a history of secondary amenorrhea of at least six months duration with low or normal gonadotropins or a history of primary amenorrhea in the presence of pulsatile patterns of LH or FAS on baseline frequent sampling studies, BMI \> 18 kg/m2 and normal testosterone and prolactin levels.
* Women and minors with acquired hypogonadotropic hypogonadism will have a history of hypothalamic or pituitary tumor treated with surgery alone or in combination with radiotherapy or a history of hypothalamic irradiation as adjunctive therapy for leukemia or craniofacial neoplasms. There must be a minimum of 2 years since irradiation and no gonadal radiation. For the previous two months, patients will be euthyroid on thyroid replacement if needed, normoprolactinemic on dopamine agonists if needed, and receiving physiologic glucocorticoid replacement if needed.

Subjects will be otherwise healthy women and female minors between the ages of 16 and 45 years who have not been on gonadal steroid preparations for at least 1 month. Subjects will have normal complete blood count (hemoglobin greater than or equal to 11.5gm/dl) and thyroid function tests and a negative pregnancy test.

Exclusion Criteria:

Mitral valve prolapse with ballooning of the mitral valve will be cause for exclusion of the patient from intravenous GnRH treatment.",False,FEMALE,,16 Years,45 Years,"['CHILD', 'ADULT']",,
NCT05921877,AMH and Functional Hypothalamic Amenorrhea,"Inclusion Criteria:

* Women aged 15-34 years.
* Diagnosis of functional hypothalamic amenorrhea (for at least 2 years).
* Signature of informed consent.

Exclusion Criteria:

* Polycystic ovary syndrome
* Taking oral contraceptives in the previous three months
* Other clinically relevant endocrinopathies
* positive MAP-test (Medroxyprogesterone acetate test)
* Estroprogestin replacement therapy
* Autoimmune disorders
* Failure to sign informed consent",,FEMALE,,15 Years,34 Years,"['CHILD', 'ADULT']","Patients with functional hypotalamic amenorrhea (FHA) will be recruited from the DH of Dysfunctional Gynecology (UOSD Diagnostic and Medical Therapy of Menstrual Dysfunction and Marital Infertility) Department of Women's, Children's and Public Health Sciences of the A. Gemelli IRCCS University Polyclinic Foundation. Possible enrollment in the study protocol will not affect or alter in any way the patient's clinical course or adherence to good clinical practice guidelines. A group of healthy controls will also be enrolled, respecting the same exclusion criteria, from among the patients afferent to the Day Hospital of Dysfunctional Gynecology (healthy control is defined as: patient not suffering from functional hypothalamic amenorrhea, not from polycystic ovary syndrome and with 10-12 menstrual cycles per year).",NON_PROBABILITY_SAMPLE
NCT01500447,Inherited Reproductive Disorders,"* INCLUSION CRITERIA:

The essential inclusion criteria include:

1. failure to go through a normal, age-appropriate, spontaneous puberty and low sex steroid levels in the setting of low/normal gonadotropins (due to substantial variability among patient presentations, this will be based on the clinical judgement of the Investigator), or
2. abnormally early development of puberty, or
3. normal puberty with subsequent development of low gonadotropin levels, or
4. individuals with features indicating an increased risk of hypogonadotropic hypogonadism.
5. Family members: both affected and unaffected family members are strongly encouraged to participate.

EXCLUSION CRITERIA:

Since hypogonadotropic hypogonadism is a rare condition, this protocol remains open to enrollment so that we may study all subjects that are both qualified and interested in participating.

Because HH represents a spectrum, where associated clinical findings may provide phenotypic clues to the assessment of inheritability and underlying physiology, exclusion criteria are very limited:

* Patients who have additional pituitary deficiencies, effectively ruling out isolated GnRH deficiency, whether these deficiencies are congenital or acquired (e.g. secondary to malignancy, infection, or irradiation).
* Patients who are taking medications known to affect GnRH secretion, such as corticosteroids or continuous opiate administration (or were taking them at the time of diagnosis).",False,ALL,,6 Weeks,,"['CHILD', 'ADULT', 'OLDER_ADULT']","Primary Clinical, self-referred or physician-referred subjects",NON_PROBABILITY_SAMPLE
NCT05629377,Hypothalamic Amenorrhea as a Fertility Status Marker for Cardiovascular Health (ARCH),"Inclusion Criteria:

* Secondary amenorrhea of 3 or more consecutive months duration
* Include the screening hormones (eg, estradiol (E2) \< 50 pg/ml, Follicle-Stimulating Hormone (FSH) \<10 mIU/ml, and Luteinizing Hormone (LH) \< 10mIU/ml and other HA-defining hormones); or clinical diagnosis of HA by medical providers.
* Pre-menopause status.
* Able to give informed consent.

Exclusion Criteria:

* A diagnosis for secondary amenorrhea including prolactinoma, Polycystic Ovary Syndrome (PCOS), premature ovarian insufficiency, pituitary surgery, infection or infarction
* Pregnancy
* Psychotropic/illicit drug use
* Mental/neurological/major psychological disorders (other than depression and anxiety).
* Parturition/lactating in the last 6-12 months.",False,FEMALE,,18 Years,40 Years,['ADULT'],Premenopausal women with hypothalamic amenorrhea at Mayo Clinic Florida.,NON_PROBABILITY_SAMPLE
NCT06280807,Observation of Environment and Reproductive-Endocrine Effects,"* INCLUSION CRITERIA:

In order to be eligible to participate in this study, an individual must meet all of the following criteria:

1. Male or female, referring to sex assigned at birth (cis gender)
2. Age \> 8 years and weight \>= 12 kg
3. A diagnosis of hypogonadism, infertility or other reproductive dysfunction

   Some specific diagnoses (as defined in standard guidelines) will include:
   * Male or female hypogonadism

     * Obesity/metabolic syndrome related to hypogonadism.
     * Other reproductive dysfunction (e.g., secondary to endocrine dysfunction, thyroid disorders, Cushing syndrome, pharmacotherapy, etc.)
     * Premature Ovarian Insufficiency
     * Isolated hypogonadotropic hypogonadism
   * Polycystic Ovarian Syndrome
   * Delayed Puberty
   * Precocious puberty
   * Perimenopause and post-menopausal states
   * Androgen Excess States (Nonclassic Congenital Adrenal Hyperplasia, Extreme hyperinsulism, Idiopathic etc.)

   or

   -Exhibiting signs of a diagnosis of hypogonadism, e.g., Bosma arrhinia microphthalmia syndrome (BAMS)
4. Ability of participant, legal guardian, or Legally Authorized Representative (LAR) to understand and the willingness to sign a written informed consent document.

EXCLUSION CRITERIA:

An individual who meets any of the following criteria will be excluded from participation in this study:

1. A diagnosis of a serious medical disorder such as malignancy or heart disease will be grounds for exclusion at the discretion of the PI or AI.
2. Inability to follow up with the research study and/or perform study procedures, at the discretion of the PI or AI.
3. Pregnant participants, less than 18 years of age, for their safety, since there is not a trained doctor on the study to give proper medical care to pregnant individuals less than 18 years of age.

Individuals who do not meet the criteria for participation in this study (screen failure) because of an acute, reversible or transient medical reason may be rescreened upon reversal, improvement or stabilization of their clinical status. Participants who develop an acute, reversible or transient medical condition during the study may return upon reversal, improvement or stabilization of their clinical status.",False,ALL,,8 Years,99 Years,"['CHILD', 'ADULT', 'OLDER_ADULT']","Adult and pediatric (between the ages of 8 and 18), cisgender male and females, from the communities and surrounding areas of Durham, Chapel Hill and Raleigh in NC; and Bethesda, MD.",NON_PROBABILITY_SAMPLE
NCT01601171,Genetics of Reproductive Disorders (Including Kallmann Syndrome) and Cleft Lip and/or Palate,"Inclusion Criteria:(any of the following conditions)

* hypogonadotropic hypogonadism
* Kallmann syndrome
* adult-onset hypogonadotropic hypogonadism
* hypothalamic amenorrhea
* polycystic ovarian syndrome
* primary gonadal failure
* precocious puberty
* cleft lip/palate
* family members of the above groups

Exclusion Criteria:

* acute illness/hospitalization
* pituitary tumors
* iron overload (hemochromatosis)
* infiltrative diseases (sarcoidosis)
* chronic alcohol abuse
* illicit drug use
* anabolic steroid abuse",True,ALL,,,,"['CHILD', 'ADULT', 'OLDER_ADULT']","Study participants will be a convenience sample of those patients with reproductive disorders (and their family members), with or without cleft lip/palate, who are interested in participating in this genetic study.",NON_PROBABILITY_SAMPLE
NCT04938622,Bioenergetics of Exercise-Induced Menstrual Disturbances,"Inclusion Criteria:

* Weight 45-75 kg
* Body fat 15-35 percent
* BMI 18-25 kg/m2
* Nonsmoking
* \<1 hour/week of purposeful aerobic exercise for the past 6 months
* Documentation of at least two ovulatory menstrual cycles during screening.

Exclusion Criteria:

* History of serious medical conditions
* Medication use that would alter metabolic hormone levels
* Significant weight loss/gain (±2.3 kg) in the last year
* Current evidence of disordered eating or history of an eating disorder
* Taking exogenous hormonal contraceptives for the past 6 months",True,FEMALE,,18 Years,30 Years,['ADULT'],,
NCT03817827,Effect of Acupuncture and Diet Modification on amenorrheaIN FEMALE ATHLETE TRIAD,"Inclusion Criteria:

* All patients suffering from athletic amenorrhea.
* Their age will be ranged from 17-25 years old.
* Their body mass index will be less than 18.5 kg/m2.
* No history of previous pregnancies.
* No history of any pathological disease causing amenorrhea.
* They are medically stable and consented to participate in the study.

Exclusion Criteria:

* Patients with gynecological diseases that may cause amenorrhea.
* Patients using contraceptive pills.
* Patients using hormonal treatment.
* Patients using induction of ovulation methods.
* Patients following any other diet modification method.
* Patients who receive any drug with side effect of amenorrhea.",False,FEMALE,True,17 Years,25 Years,"['CHILD', 'ADULT']",,
NCT00392873,Increased Calorie Intake to Reverse Energy Deficiency in Exercising Women: Impact on Bone and Menstrual Cyclicity,"Inclusion Criteria for Ovulatory Control Volunteers:

* 18-35 years
* BMI 16-25 kg/m2
* At least 2 hr/wk of aerobic exercise
* Gynecological age \>/= 5 years
* Weight stable (+/- 2 kg) last 6 months
* History of regular menses for 6 months

Inclusion Criteria for Women with Irregular or Absent Menses:

* 18-35 years
* BMI 16-25 kg/m2
* At least 3 hr/wk of aerobic exercise
* Gynecological age \>/= 5 years
* Weight stable (+/- 2 kg) last 6 months
* No menses within past 3 months or 6 or less menses in last 12 months
* Low to normal bone mass (L1-L4 Z score \</=0)

Exclusion Criteria for all participants:

* Hormonal contraceptives in last 6 months
* Smoking currently
* Current clinical diagnosis of an eating disorder
* Use of medications incompatible with measurement of reproductive or metabolic hormones, including thyroid medications that may interfere with any of the study outcomes.
* Dietary habits incompatible with prescribed diet for study
* Any metabolic, reproductive or bone disease
* Sedentary individuals with less than 120 minutes (2 hrs) of activity per week",True,FEMALE,,18 Years,35 Years,['ADULT'],,
NCT04766203,Relative Energy Deficiency in Sport Multicenter Study,"Inclusion Criteria:

* International or Canadian elite (National Sport Organization identified) and (Provincial Sport Organization / University varsity identified) Next Generation, or recreational athlete or para-athlete
* Female or male athlete or para-athlete currently and actively training for and racing in an Olympic sports event
* Age \>15 years

Exclusion Criteria:

* Under 15 years old
* Pregnant",True,ALL,,15 Years,,"['CHILD', 'ADULT', 'OLDER_ADULT']",,
